EVENT_ID,median_income,population_density,housing_units_density,duration,weekend,sin_time,cos_time,sin_date,cos_date,tornado_intensity,tornado_area,average_range,minimum_range,average_latitude,average_longitude,percent_land,multi_vortex
601567,33416.0,49.9,21.8,1.0,1.0,-0.6626200482157372,-0.7489557207890024,-0.8674563547295971,0.4975132889071803,0.0,50.0,7.5,7.0,31.2668,-89.6994,0.9886260070722904,0.0
79154,54666.0,1243.3,563.4,0.0,0.0,0.1908089953765448,0.9816271834476641,0.5947266869607634,0.8039279618328213,0.0,0.0,2.0,2.0,36.2083,-86.9514,0.9583412556565386,0.0
118240,53143.0,17.0,7.9,0.0,1.0,-0.8314696123025455,0.5555702330196018,0.16280701293851715,-0.986657932891657,0.0,0.0,5.0,5.0,29.03,-96.71,0.9679764725104156,0.0
174409,70866.0,716.7,298.6,0.0,1.0,-0.35429103799771583,-0.9351352096860116,0.4093559588156213,-0.9123747579707272,0.0,0.0,7.0,7.0,39.7402,-104.624,0.9908869686134286,0.0
93982,32664.0,17.9,8.4,3.0,0.0,-0.9304175679820248,0.3665012267242969,0.9886775902323404,-0.1500553983446526,0.0,100.0,1.0,1.0,34.3834,-95.0282,0.9724713253924032,0.0
160955,49473.03165642418,170.1744019481447,73.23561810628874,2.0,0.0,-0.3907311284892747,0.92050485345244,0.9942179068939521,0.10738134666416307,0.0,0.0,5.0,5.0,30.37,-90.6639,0.9636738180410184,0.0
719106,42128.0,59.5,28.4,7.0,1.0,-0.7660444431189779,-0.6427876096865395,-0.9922222094179324,0.12447926388678868,0.0,100.0,1.5,1.0,34.227500000000006,-81.91299999999998,0.9733504302553724,0.0
524636,30078.0,47.2,15.7,11.0,1.0,-0.5446390350150271,-0.838670567945424,0.4093559588156213,-0.9123747579707272,0.0,800.0,1.5,1.0,36.46215,-89.3954,0.8550208881324463,0.0
122901,112399.0,339.7,127.2,0.0,1.0,-0.9692309097067544,-0.2461532930289929,-0.8064799463209447,-0.5912614448635783,0.0,0.0,2.0,2.0,39.38,-104.91,0.9968915728404144,0.0
310524,34794.0,21.5,10.5,11.0,0.0,-0.904455145454368,-0.4265687399014586,0.9721181966290612,-0.23449138957040985,1.0,2875.0,2.5,2.0,32.33995,-87.9023,0.9941078897290035,0.0
595843,58904.0,184.2,92.8,6.0,1.0,-0.43837114678907707,-0.8987940462991671,-0.2802306751992161,-0.9599326896597444,0.0,150.0,3.0,3.0,42.69150000000001,-88.7522,0.9628312751491608,0.0
740250,38605.0,82.4,36.5,5.0,1.0,-0.9440890203927844,0.32969064526278663,0.8115390590073609,0.5842981736283684,0.0,300.0,2.0,2.0,36.0245,-88.96285,0.9984925039343991,0.0
105564,60025.0,5495.1,2306.5,11.0,1.0,-0.9840406976462908,-0.17794354547384236,0.3935902766564667,-0.9192859697186104,1.0,600.0,1.0,1.0,41.4876,-87.70705,0.5782329985442181,0.0
577101,58025.0,37.7,23.6,7.0,0.0,-0.9612616959383191,-0.2756373558169989,-0.07738647923346323,-0.9970011699250152,0.0,100.0,2.5,2.0,44.9058,-88.26315,0.8687314478712385,0.0
728837,46873.0,202.7,88.5,1.0,1.0,-0.9426414910921784,0.3338068592337709,-0.8214765533024145,0.5702422926917867,0.0,0.0,1.0,1.0,40.67805,-80.58485,0.994763320802708,0.0
710679,39021.0,12.4,6.1,17.0,0.0,-0.9999143275740071,-0.013089595571344698,0.06021327736579302,-0.9981855344718586,0.0,750.0,2.0,1.0,40.25685,-94.1233,0.9946173648490524,0.0
678121,52380.0,301.2,134.1,2.0,0.0,-0.9807852804032304,-0.19509032201612864,0.8498170915275278,0.5270777086423722,0.0,0.0,0.5,0.0,40.87900000000001,-89.5128,0.9819378369806534,0.0
368505,40518.0,5.9,3.6,1.0,0.0,-0.9117620435770886,0.4107188526134774,0.9984354211555644,0.05591699010060349,0.0,0.0,3.0,3.0,38.0808,-96.12795,0.9919054683636552,0.0
323590,78680.0,1788.8,679.9,1.0,0.0,-0.9986295347545738,0.052335956242943946,0.9033558023246844,-0.4288919379124835,0.0,0.0,0.5,0.0,38.78235,-76.90555,0.9676248897442066,0.0
676810,41118.0,12.2,6.1,6.0,0.0,-0.8290375725550421,0.5591929034707462,0.8996308696522433,0.436651231956064,1.0,1750.0,3.0,1.0,40.6536,-93.1529,0.9967561415156978,0.0
