,median_income,population_density,housing_units_density,duration,weekend,sin_time,cos_time,sin_date,cos_date,tornado_intensity,tornado_area,average_range,minimum_range,average_latitude,average_longitude,percent_land,multi_vortex
8521,0.23030088266196722,-0.031376869081630065,-0.03752825597538073,-0.662919822492436,-0.5934248239015795,0.1456675103456031,-1.2675134402443988,0.5844823738882776,-0.6186335049604373,-0.391644424303328,-0.27545272311830493,-0.3536865484800183,-0.2260697267042529,-0.4699660943299145,0.6192612906004439,-0.4927337792567789,-0.07031866989274754
14115,0.0,-3.985734492214456e-16,8.44501545948915e-16,0.2111046034925306,1.6851334149207275,1.4630748089294419,1.7402417881177281,1.0146652932550175,0.17254252102864734,-0.391644424303328,0.5519609134138381,-0.6301774672987327,-0.5054682326893317,-0.9773655727393347,-0.078699473105358,2.7687565091028165e-14,-0.07031866989274754
7055,0.6744091796122712,-0.21592687317614684,-0.23118877560752552,2.3961656684549473,1.6851334149207275,0.5005221446741445,1.777762865551739,1.008473512934981,0.14551772502047075,2.5533364908203096,1.5419876345823562,1.1670135050229113,0.3327272852659047,-0.16944528210972334,-0.9467492730868106,0.3957530566773256,-0.07031866989274754
6445,3.8971284068498844,1.578667657521065,1.53482737092965,-0.662919822492436,-0.5934248239015795,2.399390261125776,1.0339663088175886,1.049513335854507,0.4194747070605103,-0.391644424303328,-0.27545272311830493,-0.0771956296613038,0.05332877928082591,0.3768795793106538,1.8826486466594328,-3.061782591511859,-0.07031866989274754
10628,0.0,-3.985734492214456e-16,8.44501545948915e-16,0.06543386582836949,1.6851334149207275,0.746523819442609,-1.428111218851585,-1.9178383011148963,1.325270189662214,-0.391644424303328,-0.23958218974263398,-0.21544108907066103,-0.2260697267042529,-1.4047652247386826,0.15348664401707676,2.7687565091028165e-14,-0.07031866989274754
12305,-0.9158591169548934,-0.13529142305886177,-0.1521864697648094,0.2111046034925306,1.6851334149207275,2.559873633981072,0.7049019407079858,0.05021299321787176,2.0209137508241346,-0.391644424303328,0.5854400778977977,-0.21544108907066103,-0.5054682326893317,-1.2158691373856394,1.0997922935597169,-0.11149491272071105,-0.07031866989274754
6156,-0.04592733420792691,-0.23724267912019434,-0.2542602454553983,-0.662919822492436,-0.5934248239015795,-0.7952551242734347,0.47748503118353036,-1.698475139579964,-0.5788134767933765,-0.391644424303328,-0.27545272311830493,8.21753193490013,8.43528395883319,1.0774311274104447,-1.1816533397856297,0.3347393258766051,-0.07031866989274754
1125,-1.58822989360926,-0.23668173685850888,-0.2542602454553983,-0.662919822492436,1.6851334149207275,-0.3348384816756858,-0.9378946891337984,0.4191082388742174,-0.763930204286852,-0.391644424303328,-0.27545272311830493,5.176131827894271,5.361900392997324,1.6083859932116102,-1.1543807635568266,0.3750487742198754,-0.07031866989274754
10253,1.4793660985388561,-0.13627307201681133,-0.1556821470144871,-0.2259076094999527,-0.5934248239015795,2.645462664902732,0.26553210597815746,-0.27894203449535904,-1.066729080764758,-0.391644424303328,-0.251539034201191,-0.4919320078893755,-0.5054682326893317,1.5053364406775929,-0.2733493413977519,-0.03295258594107835,-0.07031866989274754
5014,0.17468103850158828,-0.13262694731585584,-0.14134987029080853,0.3567753411566917,-0.5934248239015795,-0.4539385441474505,1.197987092312776,0.9791444508787024,0.038617978353522354,-0.391644424303328,-0.060229522864279274,-0.21544108907066103,-0.2260697267042529,0.5985909760220556,0.6032514506299536,0.41165901534137395,-0.07031866989274754
6243,0.5942111474360673,-0.07793507680152337,-0.027041224226347624,-0.3715783471641138,1.6851334149207275,1.9199019302862834,1.5214763352844223,-1.962988589201031,-0.19275122782823373,-0.391644424303328,-0.27545272311830493,-0.76842292670809,-0.7848667386744105,-1.4306592954940096,0.5480361188247481,-2.1315715197144254,-0.07031866989274754
8739,-0.46673312764149716,-0.17049054997962446,-0.17805448141242441,2.1048241931266247,-0.5934248239015795,0.6115865096421355,-1.4108515645768824,0.03746975633775829,-0.9791044617266431,2.5533364908203096,0.4240226777072785,-0.4919320078893755,-0.5054682326893317,-0.10034877678661594,0.6246971897532142,0.32692942435113814,-0.07031866989274754
8914,-0.9915497305676415,-0.20470802794243761,-0.21615736343391137,-0.5172490848282749,-0.5934248239015795,-0.6807587614736209,-0.4490201989363148,-0.7563048993908804,2.1198560578017993,-0.391644424303328,-0.27545272311830493,-0.9066683861174472,-0.7848667386744105,-1.0923192342861754,0.4203545423779131,0.39749055667222405,-0.07031866989274754
10672,0.0,-3.985734492214456e-16,8.44501545948915e-16,-0.3715783471641138,-0.5934248239015795,-0.7682392911955065,0.5956717132075484,-1.698475139579964,-0.5788134767933765,-0.391644424303328,-0.23958218974263398,-0.21544108907066103,-0.2260697267042529,0.9591169253546733,0.47008433211571116,2.7687565091028165e-14,-0.07031866989274754
8896,0.0,-3.985734492214456e-16,8.44501545948915e-16,0.5024460788208528,-0.5934248239015795,0.3984452817973794,-1.3622960627987728,-1.9378115769741593,-0.2420247476074105,-0.391644424303328,-0.024358989488608335,0.6140316673854823,0.6121257912509835,-1.0615792430477522,-0.20890663283435887,2.7687565091028165e-14,-0.07031866989274754
10677,-1.0952203575271244,-0.19489153836294204,-0.1818997263870699,-0.0802368718357916,-0.5934248239015795,0.5669792267963977,-1.4028919704895153,-0.8775874451730721,-1.0510645177269395,-0.391644424303328,-0.13197058961562116,-0.4919320078893755,-0.5054682326893317,-0.15142056483455477,0.8384844016382426,-0.3519626398398132,-0.07031866989274754
1332,0.3477489022116359,0.3304308897054924,0.3319648293155525,2.1048241931266247,-0.5934248239015795,0.17978308831736625,-1.2828929995663931,1.0116267999760793,0.8878658930481353,-0.391644424303328,-0.22762534528407702,-0.4919320078893755,-0.5054682326893317,-2.0004131289891833,-0.6822580292642272,-2.9014323262163706,-0.07031866989274754
397,0.9644998347056236,-0.21522569534904,-0.23118877560752552,0.793787554149175,1.6851334149207275,0.1456675103456031,-1.2675134402443988,0.4191082388742174,-0.763930204286852,2.5533364908203096,-0.11762237626535278,0.19929528915741065,0.05332877928082591,-0.2194741437928202,-0.7621396842797852,0.3283705095352133,-0.07031866989274754
