,median_income,population_density,housing_units_density,duration,weekend,sin_time,cos_time,sin_date,cos_date,tornado_intensity,tornado_area,average_range,minimum_range,average_latitude,average_longitude,percent_land,multi_vortex
4663,-0.08487823424684672,-0.2288285451949124,-0.24447234915630078,-0.5172490848282749,-0.5934248239015795,-0.8216039293973297,0.19443049281767552,-0.6610309546109556,-1.0833990007000465,-0.391644424303328,-0.251539034201191,0.47578620797612514,0.6121257912509835,1.3281653739716943,-0.846594692806292,0.3801869285749921,-0.07031866989274754
7709,-1.1426758208933194,-0.20330567228822397,-0.21196255073429812,-0.5172490848282749,1.6851334149207275,-0.4109641130239405,-0.8587813936654711,-1.9378115769741593,-0.2420247476074105,2.5533364908203096,-0.27545272311830493,-0.6301774672987327,-0.5054682326893317,-0.1631350508719524,0.1516498561755,0.39473725691338685,-0.07031866989274754
14369,-0.9891684528360044,-0.18465434208718234,-0.15638128246442265,-0.5172490848282749,-0.5934248239015795,-0.6150257497508829,0.9659633801449481,-1.8676804138677334,-0.3611143346625455,-0.391644424303328,-0.27545272311830493,-0.3536865484800183,-0.2260697267042529,1.503556091630543,0.9559023054838414,0.19468860808451913,-0.07031866989274754
3711,0.16770729657322272,-0.23513914563887386,-0.2514637036556562,-0.662919822492436,-0.5934248239015795,-0.7501825799563799,0.6573886036605392,0.4191082388742174,-0.763930204286852,-0.391644424303328,-0.27545272311830493,3.24069539616327,3.4061108511017717,0.35130154684770176,-1.0998480218278806,0.4302868418276572,-0.07031866989274754
14489,-0.1667771790885056,-0.1759597370310577,-0.19028935178629638,-0.662919822492436,-0.5934248239015795,1.8951062922540058,-1.1489332038808868,-0.3875432745878873,-1.081014050423689,-0.391644424303328,-0.27545272311830493,-0.4919320078893755,-0.5054682326893317,1.1449685104911622,0.1686649651673949,0.06519386026012884,-0.07031866989274754
2167,-0.9673117250849075,-0.14300437915703684,-0.1546334438395838,-0.662919822492436,-0.5934248239015795,0.2982870005106938,1.7187440136599954,-0.7563048993908804,2.1198560578017993,-0.391644424303328,-0.27545272311830493,-0.3536865484800183,-0.2260697267042529,-1.1384292211438112,-0.3254930178597838,0.012017156638783057,-0.07031866989274754
4067,-0.5269454359986047,-0.13501095192801904,-0.13855332849106636,-0.662919822492436,1.6851334149207275,-0.802553496899513,0.4353666500267048,0.16282926364712366,-0.9234278833358445,-0.391644424303328,-0.27545272311830493,-0.3536865484800183,-0.2260697267042529,0.7686827849787351,0.1878953892249736,0.3749709396306747,-0.07031866989274754
4574,0.7516306146239288,-0.049327021455564835,-0.046617016824542765,-0.8085905601565971,-0.5934248239015795,-0.18458323532040513,1.4567262181723606,-1.0877124525916404,-0.9889166171404169,-0.391644424303328,-0.27545272311830493,-0.6301774672987327,-0.5054682326893317,1.111152413206947,0.730808919790195,-6.098564086084851,-0.07031866989274754
1441,0.5592573921609668,-0.1791851550357491,-0.19028935178629638,-0.3715783471641138,-0.5934248239015795,-0.7771524293095181,0.5611110862895247,-0.013919968686906785,-0.9982806282762131,-0.391644424303328,-0.26947430088902646,0.06104982974805342,0.05332877928082591,1.512647459841221,-0.3486700536310172,0.2898770734944745,-0.07031866989274754
13267,0.8010421275553968,-0.21564640204530408,-0.22244958248333124,-0.0802368718357916,-0.5934248239015795,0.7164197562169211,1.8139984417613817,-2.0962531089338805,0.19967129590581967,-0.391644424303328,0.9871900517053124,0.33754074856676786,0.3327272852659047,1.7385516312314755,-0.42740992160991914,-0.35341095259147787,-0.07031866989274754
